id,clearanceType,time,type
"NAPOLI","Runway Change",1549641061000,"DEP"
"NAPOLI","Runway Entry Change",1549641061000,"DEP"
"ADH124","Runway Change",1549641061000,"DEP"
"ADH124","Runway Entry Change",1549641061000,"DEP"
"AEA406","Runway Change",1549641061000,"DEP"
"AEA406","Runway Entry Change",1549641061000,"DEP"
"AUA516P","Runway Change",1549641061000,"DEP"
"AUA516P","Runway Entry Change",1549641061000,"DEP"
"EZY363E","Runway Change",1549641061000,"DEP"
"EZY363E","Runway Entry Change",1549641061000,"DEP"
"ADH138","Runway Change",1549641061000,"DEP"
"ADH138","Runway Entry Change",1549641061000,"DEP"
"EZY152X","Runway Change",1549641062000,"DEP"
"EZY152X","Runway Entry Change",1549641062000,"DEP"
"ADH138","Startup Clearance",1549641144300,"DEP"
"EZY363E","Startup Clearance",1549641144300,"DEP"
"AUA516P","Startup Clearance",1549641145300,"DEP"
"AEA406","Startup Clearance",1549641145300,"DEP"
"ADH138","Taxi Clearance",1549641169300,"DEP"
"AEA406","Pushback Clearance",1549641170300,"DEP"
"AUA516P","Taxi Clearance",1549641170300,"DEP"
"EZY363E","Pushback Clearance",1549641170300,"DEP"
"AEA406","Taxi Clearance",1549641171300,"DEP"
"EZY363E","Taxi Clearance",1549641172300,"DEP"
"AUA516P","Lineup Clearance",1549641200700,"DEP"
"AUA516P","Takeoff Clearance",1549641201700,"DEP"
"NOS436","Runway Change",1549641230700,"DEP"
"NOS436","Runway Entry Change",1549641230700,"DEP"
"EZY363E","Runway Entry Change",1549641250700,"DEP"
"EZY152X","Startup Clearance",1549641257700,"DEP"
"EZY152X","Pushback Clearance",1549641271700,"DEP"
"EZY152X","Taxi Clearance",1549641279700,"DEP"
"EZY152X","Runway Entry Change",1549641309700,"DEP"
"ADH138","Lineup Clearance",1549641325700,"DEP"
"ADH138","Takeoff Clearance",1549641411700,"DEP"
"EZY363E","Hold Clearance",1549641452700,"DEP"
"AEA406","Lineup Clearance",1549641464700,"DEP"
"EZY287C","Runway Change",1549641470700,"DEP"
"EZY287C","Runway Entry Change",1549641470700,"DEP"
"ADH124","Startup Clearance",1549641525700,"DEP"
"TAR757","Runway Change",1549641590700,"DEP"
"TAR757","Runway Entry Change",1549641590700,"DEP"
"ADH646","Runway Change",1549641590700,"DEP"
"ADH646","Runway Entry Change",1549641590700,"DEP"
